,E1,E2,W1,W2,N1,N2,S1,S2,Central,NE,NW,SE,SW
175,350.298,229.879,338.0,472.0,338.247,263.846,384.721,360.0,438.778,486.007,168.963,328.165,222.93
176,350.298,294.171,563.0,328.0,328.784,238.923,468.75,430.0,480.0,509.259,211.546,276.987,372.761
177,233.532,238.213,304.0,732.0,402.186,412.14,384.721,524.0,302.537,141.243,420.348,263.308,545.135
178,313.316,219.622,702.0,499.0,280.899,401.878,707.452,618.0,483.277,505.326,138.887,427.792,213.637
179,850.069,238.213,568.0,439.0,452.936,403.606,483.176,341.0,251.244,199.748,196.416,319.47,185.699
180,266.267,451.977,422.0,540.0,506.398,263.846,281.684,276.0,280.899,282.486,248.448,276.987,229.653
181,532.535,226.772,627.0,586.0,417.586,337.888,591.123,636.0,327.582,279.647,62.112,309.397,383.49
182,156.658,347.252,422.0,328.0,376.865,353.986,548.268,371.0,376.865,141.243,249.996,252.389,293.616
183,365.535,189.263,382.0,524.0,391.247,396.647,470.375,649.0,280.899,329.432,300.458,583.672,159.236
184,524.798,508.475,550.0,270.0,280.899,298.507,507.812,488.0,397.251,505.326,310.56,260.621,313.658
185,233.532,286.846,510.0,684.0,355.312,344.013,576.751,450.0,408.995,203.703,211.546,431.886,191.083
186,417.755,698.831,644.0,459.0,252.809,300.831,718.155,280.0,317.801,260.439,161.968,401.48,300.445
187,407.846,188.324,454.0,463.0,355.312,701.056,390.625,533.0,280.899,178.66,149.586,372.374,318.471
188,261.097,193.891,597.0,747.0,337.079,518.375,483.176,526.0,397.251,260.439,238.95,472.363,159.236
189,165.132,547.437,298.0,604.0,502.487,291.427,468.75,531.0,397.251,376.883,310.56,345.916,284.849
190,680.857,294.774,430.0,560.0,337.079,380.524,476.819,655.0,177.656,393.457,124.224,364.252,191.083
191,696.693,226.772,330.0,512.0,308.989,320.982,507.812,333.0,427.852,288.08,256.095,131.32,193.719
192,313.316,244.821,340.0,540.0,337.079,344.013,507.812,412.0,556.151,322.083,249.996,356.932,338.54
193,472.866,339.506,472.0,328.0,224.719,396.647,585.938,645.0,280.899,227.747,386.894,305.39,127.389
194,380.162,346.229,515.0,463.0,366.247,500.612,552.427,611.0,341.728,205.653,290.004,386.746,201.419
195,261.097,294.171,434.0,741.0,347.453,467.536,580.706,656.0,302.537,252.663,168.963,447.494,384.81
196,1255.438,363.714,330.0,499.0,355.312,507.518,606.413,618.0,317.801,225.989,439.198,291.232,427.274
197,208.877,363.714,304.0,382.0,337.079,396.647,585.938,574.0,355.312,384.222,78.566,184.764,327.886
198,295.397,226.772,592.0,439.0,376.865,367.495,767.456,533.0,405.118,232.944,200.305,382.629,180.155
199,365.535,357.32,441.0,262.0,327.582,519.716,429.688,464.0,238.351,294.924,161.968,413.145,343.004
200,317.638,745.72,549.0,393.0,310.263,417.177,654.807,568.0,452.936,942.0,308.556,374.995,642.681
201,330.264,563.367,597.0,414.0,338.247,389.564,654.807,293.0,286.462,671.0,232.841,384.165,562.939
202,1050.894,368.285,382.0,419.0,428.774,369.384,617.632,754.0,302.537,416.0,229.984,396.647,627.26
203,668.734,491.353,340.0,618.0,342.881,307.694,585.938,437.0,0.0,335.0,545.455,425.439,667.147
204,815.692,494.106,400.0,328.0,390.237,300.831,546.875,309.0,327.582,237.0,257.13,455.468,283.047
205,889.263,445.0,340.0,645.0,359.726,688.026,591.123,247.0,280.899,372.0,232.841,417.177,295.359
206,421.006,164.702,283.0,270.0,240.0,425.439,531.307,280.0,337.079,800.0,386.551,554.704,573.902
207,266.267,531.148,454.0,463.0,417.586,374.995,646.599,373.0,251.244,1224.0,312.812,861.447,421.941
208,417.755,220.971,400.0,419.0,219.389,410.448,489.452,439.0,238.351,592.0,437.876,425.439,548.523
209,783.29,156.25,382.0,371.0,303.839,403.606,542.674,608.0,376.865,543.0,290.909,467.536,362.967
210,576.781,312.5,434.0,477.0,393.258,333.741,617.632,437.0,327.582,441.0,406.558,601.661,702.25
211,221.548,232.924,380.0,512.0,341.728,380.524,717.092,464.0,359.726,795.0,478.289,271.646,360.506
212,522.193,214.745,430.0,604.0,314.054,384.165,513.787,393.0,317.801,727.0,363.636,461.542,897.059
213,313.316,333.496,529.0,463.0,314.054,455.468,552.427,360.0,286.462,750.0,514.259,353.986,210.97
214,330.264,294.628,508.0,560.0,308.989,284.171,422.526,218.0,359.726,770.0,243.935,298.507,513.313
215,611.211,679.084,422.0,472.0,484.907,238.923,468.75,276.0,327.582,416.0,443.875,453.938,362.967
216,454.0,333.496,,499.0,258.976,435.146,248.998,360.0,238.351,329.0,325.246,447.761,256.657
217,462.0,333.496,,,366.247,250.306,599.667,293.0,355.312,607.0,439.383,291.427,440.519
218,401.0,796.722,,,351.965,490.782,424.029,414.0,0.0,514.0,474.124,396.647,464.135
219,254.0,232.924,254.684,372.678,280.899,373.134,236.22,405.118,355.312,770.0,325.246,337.888,362.967
220,580.0,214.745,359.116,444.444,444.14,369.384,478.958,578.406,452.936,543.0,363.636,235.991,533.718
221,652.0,553.653,284.41,472.222,342.881,417.177,248.998,657.567,359.726,843.0,485.151,223.881,506.329
222,369.0,147.314,519.014,594.47,439.676,186.567,236.22,578.406,0.0,421.0,325.246,235.991,304.266
223,448.0,214.745,519.014,300.463,338.247,455.468,393.701,302.537,0.0,237.0,494.599,410.448,796.117
